date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02T00:00:00.000Z,29.35,29.72,29.11,29.62,40700297,28.6957826259,29.0575352519,28.461132274,28.9597642719,40700297,0.0,1.0
2020-01-03T00:00:00.000Z,29.17,29.87,29.01,29.85,47397994,28.5197948619,29.2041917218,28.363361294,29.1846375259,47397994,0.0,1.0
2020-01-06T00:00:00.000Z,29.22,29.79,29.01,29.75,45479486,28.5686803519,29.1259749379,28.363361294,29.0868665459,45479486,0.0,1.0
2020-01-07T00:00:00.000Z,29.5,29.52,29.02,29.21,39223378,28.8424390959,28.8619932919,28.373138392,28.5589032539,39223378,0.0,1.0
2020-01-08T00:00:00.000Z,28.35,29.43,28.12,29.37,94310730,27.7180728261,28.7739994099,27.4931995721,28.7153368219,94310730,0.0,1.0
2020-01-09T00:00:00.000Z,28.04,28.42,28.0,28.11,60554580,27.4149827881,27.786512512,27.3758743961,27.4834224741,60554580,0.0,1.0
2020-01-10T00:00:00.000Z,28.45,28.56,28.12,28.15,38631620,27.815843806,27.923391884,27.4931995721,27.5225308661,38631620,0.0,1.0
2020-01-13T00:00:00.000Z,27.77,28.32,27.75,28.32,48707510,27.1510011421,27.6887415321,27.1314469461,27.6887415321,48707510,0.0,1.0
2020-01-14T00:00:00.000Z,28.26,28.31,27.68,27.71,56946795,27.6300789441,27.6789644341,27.0630072602,27.0923385541,56946795,0.0,1.0
2020-01-15T00:00:00.000Z,28.79,28.87,28.17,28.39,50455374,28.148265138,28.226481922,27.5420850621,27.7571812181,50455374,0.0,1.0
2020-01-16T00:00:00.000Z,28.67,28.71,28.36,28.6,37951490,28.030939962,28.070048354,27.7278499241,27.962500276,37951490,0.0,1.0
2020-01-17T00:00:00.000Z,28.42,28.78,28.3,28.75,43777382,27.786512512,28.13848804,27.6691873361,28.109156746,43777382,0.0,1.0
2020-01-21T00:00:00.000Z,28.95,28.97,28.2,28.26,48078663,28.304698706,28.324252902,27.5714163561,27.6300789441,48078663,0.0,1.0
2020-01-22T00:00:00.000Z,28.84,28.99,28.65,28.9,21312038,28.197150628,28.343807098,28.011385766,28.255813216,21312038,0.0,1.0
2020-01-23T00:00:00.000Z,28.66,29.1,28.59,28.66,41306288,28.021162864,28.451355176,27.952723178,28.021162864,41306288,0.0,1.0
2020-01-24T00:00:00.000Z,29.22,29.3,28.61,28.61,44492647,28.5686803519,28.6468971359,27.972277374,27.972277374,44492647,0.0,1.0
2020-01-27T00:00:00.000Z,29.08,29.66,28.91,29.64,38187620,28.43180098,28.9988726639,28.265590314,28.9793184679,38187620,0.0,1.0
2020-01-28T00:00:00.000Z,28.31,28.97,28.28,28.8,55716419,27.6789644341,28.324252902,27.6496331401,28.158042236,55716419,0.0,1.0
2020-01-29T00:00:00.000Z,28.86,28.9,28.23,28.3,37938316,28.216704824,28.255813216,27.6007476501,27.6691873361,37938316,0.0,1.0
2020-01-30T00:00:00.000Z,28.73,29.08,28.6,28.9,39856552,28.08960255,28.43180098,27.962500276,28.255813216,39856552,0.0,1.0
2020-01-31T00:00:00.000Z,28.99,29.24,28.76,28.8,41945196,28.343807098,28.5882345479,28.118933844,28.158042236,41945196,0.0,1.0
2020-02-03T00:00:00.000Z,28.56,28.9,28.4,28.81,42318198,27.923391884,28.255813216,27.7669583161,28.167819334,42318198,0.0,1.0
2020-02-04T00:00:00.000Z,28.05,28.28,27.77,28.2,62975497,27.4247598861,27.6496331401,27.1510011421,27.5714163561,62975497,0.0,1.0
