date,open,high,low,close,volume
2022-04-01T13:30:00.000Z,38.085,38.59,38.085,38.545,7815.0
2022-04-01T13:40:00.000Z,38.545,38.69,38.54,38.685,8524.0
2022-04-01T13:50:00.000Z,38.69,38.755,38.565,38.65,22771.0
2022-04-01T14:00:00.000Z,38.645,38.745,38.61,38.665,11941.0
2022-04-01T14:10:00.000Z,38.665,38.73,38.6,38.745,9192.0
2022-04-01T14:20:00.000Z,38.755,38.815,38.675,38.675,7005.0
2022-04-01T14:30:00.000Z,38.67,38.68,38.44,38.545,19919.0
2022-04-01T14:40:00.000Z,38.54,38.71,38.52,38.665,16180.0
2022-04-01T14:50:00.000Z,38.68,38.72,38.64,38.665,5300.0
2022-04-01T15:00:00.000Z,38.66,38.685,38.565,38.615,7554.0
2022-04-01T15:10:00.000Z,38.615,38.845,38.615,38.815,7985.0
2022-04-01T15:20:00.000Z,38.82,38.87,38.795,38.835,11558.0
2022-04-01T15:30:00.000Z,38.805,38.82,38.695,38.825,11101.0
2022-04-01T15:40:00.000Z,38.825,38.87,38.79,38.8,9838.0
2022-04-01T15:50:00.000Z,38.795,38.805,38.755,38.785,7993.0
2022-04-01T16:00:00.000Z,38.795,38.825,38.68,38.735,8562.0
2022-04-01T16:10:00.000Z,38.725,38.765,38.69,38.735,5477.0
2022-04-01T16:20:00.000Z,38.735,38.735,38.66,38.71,9784.0
2022-04-01T16:30:00.000Z,38.71,38.74,38.66,38.735,6406.0
2022-04-01T16:40:00.000Z,38.74,38.935,38.73,38.88,11261.0
2022-04-01T16:50:00.000Z,38.875,38.975,38.87,38.885,7563.0
2022-04-01T17:00:00.000Z,38.89,38.895,38.815,38.845,7477.0
2022-04-01T17:10:00.000Z,38.84,38.84,38.75,38.755,5700.0
2022-04-01T17:20:00.000Z,38.76,38.77,38.665,38.765,6974.0
2022-04-01T17:30:00.000Z,38.775,38.855,38.715,38.835,6408.0
2022-04-01T17:40:00.000Z,38.84,38.9,38.83,38.88,3876.0
2022-04-01T17:50:00.000Z,38.885,39.015,38.875,38.995,5870.0
2022-04-01T18:00:00.000Z,38.995,39.065,38.995,39.015,11222.0
2022-04-01T18:10:00.000Z,39.02,39.09,38.995,39.075,7872.0
2022-04-01T18:20:00.000Z,39.075,39.265,39.07,39.265,13975.0
2022-04-01T18:30:00.000Z,39.265,39.39,39.23,39.395,7829.0
2022-04-01T18:40:00.000Z,39.385,39.41,39.34,39.385,11400.0
2022-04-01T18:50:00.000Z,39.385,39.44,39.32,39.415,19791.0
2022-04-01T19:00:00.000Z,39.41,39.415,39.31,39.31,31827.0
2022-04-01T19:10:00.000Z,39.315,39.445,39.295,39.425,20305.0
2022-04-01T19:20:00.000Z,39.425,39.47,39.425,39.485,17588.0
2022-04-01T19:30:00.000Z,39.485,39.5,39.465,39.5,17034.0
2022-04-01T19:40:00.000Z,39.495,39.53,39.445,39.47,29040.0
2022-04-01T19:50:00.000Z,39.485,39.515,39.41,39.48,46740.0
2022-04-01T20:00:00.000Z,39.48,39.48,39.48,39.48,0.0
2022-04-04T13:30:00.000Z,39.77,39.785,39.44,39.63,9828.0
2022-04-04T13:40:00.000Z,39.63,39.79,39.425,39.42,9213.0
2022-04-04T13:50:00.000Z,39.41,39.435,39.185,39.23,5019.0
2022-04-04T14:00:00.000Z,39.24,39.365,39.14,39.21,13088.0
2022-04-04T14:10:00.000Z,39.22,39.39,39.19,39.21,6948.0
2022-04-04T14:20:00.000Z,39.205,39.365,39.17,39.365,4857.0
2022-04-04T14:30:00.000Z,39.365,39.37,39.195,39.245,4480.0
2022-04-04T14:40:00.000Z,39.25,39.45,39.245,39.445,9923.0
2022-04-04T14:50:00.000Z,39.43,39.465,39.365,39.405,8787.0
2022-04-04T15:00:00.000Z,39.405,39.415,39.28,39.325,9811.0
2022-04-04T15:10:00.000Z,39.32,39.34,39.235,39.325,13508.0
