date,open,high,low,close,volume
2022-02-14T14:30:00.000Z,861.65,866.8,853.23,857.71,25047.0
2022-02-14T14:40:00.000Z,856.62,871.9,855.49,871.71,29108.0
2022-02-14T14:50:00.000Z,872.0,878.695,869.91,872.62,34328.0
2022-02-14T15:00:00.000Z,873.19,873.785,867.645,873.26,17541.0
2022-02-14T15:10:00.000Z,872.955,878.63,871.6,874.3,18231.0
2022-02-14T15:20:00.000Z,873.8,877.15,871.71,875.505,15384.0
2022-02-14T15:30:00.000Z,876.2,876.78,871.38,874.65,28208.0
2022-02-14T15:40:00.000Z,874.8,885.51,874.04,885.15,20479.0
2022-02-14T15:50:00.000Z,885.11,887.05,881.53,884.97,24451.0
2022-02-14T16:00:00.000Z,885.5,893.135,884.25,891.165,22028.0
2022-02-14T16:10:00.000Z,890.915,898.48,890.15,897.6,38611.0
2022-02-14T16:20:00.000Z,897.54,898.68,896.3,896.53,20545.0
2022-02-14T16:30:00.000Z,896.61,897.065,890.23,891.775,14302.0
2022-02-14T16:40:00.000Z,892.03,894.48,890.3,893.385,7898.0
2022-02-14T16:50:00.000Z,893.92,894.0,887.715,890.585,14715.0
2022-02-14T17:00:00.000Z,890.3,893.16,889.0,890.77,7308.0
2022-02-14T17:10:00.000Z,890.74,892.53,889.45,889.76,9231.0
2022-02-14T17:20:00.000Z,889.62,892.56,889.5,892.29,5043.0
2022-02-14T17:30:00.000Z,892.41,895.25,891.54,892.045,9016.0
2022-02-14T17:40:00.000Z,892.18,892.47,890.47,891.65,6323.0
2022-02-14T17:50:00.000Z,891.46,891.85,884.18,884.56,13695.0
2022-02-14T18:00:00.000Z,884.44,886.69,882.185,884.425,8336.0
2022-02-14T18:10:00.000Z,884.78,885.33,882.71,884.87,5233.0
2022-02-14T18:20:00.000Z,885.11,885.11,880.275,880.68,6038.0
2022-02-14T18:30:00.000Z,880.2,880.975,876.42,877.3,10549.0
2022-02-14T18:40:00.000Z,877.16,878.85,875.64,876.19,8727.0
2022-02-14T18:50:00.000Z,876.09,876.34,862.3,863.19,20795.0
2022-02-14T19:00:00.000Z,862.71,865.87,859.145,861.75,12248.0
2022-02-14T19:10:00.000Z,862.19,865.025,859.36,864.3,13168.0
2022-02-14T19:20:00.000Z,864.67,873.19,862.11,871.55,8112.0
2022-02-14T19:30:00.000Z,870.09,872.32,868.1,871.25,8985.0
2022-02-14T19:40:00.000Z,871.06,873.28,864.82,867.54,8218.0
2022-02-14T19:50:00.000Z,867.41,874.69,867.41,873.765,11823.0
2022-02-14T20:00:00.000Z,873.88,874.48,868.2,871.83,6443.0
2022-02-14T20:10:00.000Z,872.26,874.14,868.82,870.44,9896.0
2022-02-14T20:20:00.000Z,870.23,875.8,868.79,873.56,7359.0
2022-02-14T20:30:00.000Z,873.4,878.49,873.4,875.75,7119.0
2022-02-14T20:40:00.000Z,875.72,876.75,869.0,873.4,14056.0
2022-02-14T20:50:00.000Z,871.3,877.45,870.495,875.53,21840.0
2022-02-14T21:00:00.000Z,875.53,875.53,875.53,875.53,0.0
2022-02-15T14:30:00.000Z,899.71,910.66,893.92,907.405,43495.0
2022-02-15T14:40:00.000Z,907.59,914.22,905.115,907.05,34733.0
2022-02-15T14:50:00.000Z,906.51,915.75,905.91,914.805,52857.0
2022-02-15T15:00:00.000Z,914.89,920.26,914.09,919.35,53133.0
2022-02-15T15:10:00.000Z,919.2,919.96,913.94,914.765,32633.0
2022-02-15T15:20:00.000Z,914.96,918.0,913.76,917.78,18228.0
2022-02-15T15:30:00.000Z,917.75,919.21,914.97,917.35,16587.0
2022-02-15T15:40:00.000Z,917.49,921.73,916.965,920.29,21996.0
2022-02-15T15:50:00.000Z,920.07,920.15,915.5,916.55,16824.0
2022-02-15T16:00:00.000Z,916.65,918.5,915.6,917.295,10130.0
2022-02-15T16:10:00.000Z,917.29,917.39,915.62,916.73,10717.0
2022-02-15T16:20:00.000Z,916.92,918.69,914.31,916.51,11978.0
2022-02-15T16:30:00.000Z,917.45,920.68,915.71,919.61,10363.0
